Title,Link,Rating,Description,Genre,Duration (hrs)
Die Hard,https://www.imdb.com/title/tt0095016/,8.2,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action, Thriller",2h 12m
Taare Zameen Par,https://www.imdb.com/title/tt0986264/,8.3,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama, Family",2h 42m
Metropolis,https://www.imdb.com/title/tt0017136/,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Drama, Sci-Fi",2h 33m
Snatch,https://www.imdb.com/title/tt0208092/,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy, Crime",1h 44m
1917,https://www.imdb.com/title/tt8579674/,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Action, Drama, History",1h 59m
L.A. Confidential,https://www.imdb.com/title/tt0119488/,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime, Drama, Mystery",2h 18m
Ladri di biciclette,https://www.imdb.com/title/tt0040522/,8.3,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,1h 29m
Hamilton,https://www.imdb.com/title/tt8503618/,8.3,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Biography, Drama, History",2h 40m
Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime, Drama",1h 54m
Der Untergang,https://www.imdb.com/title/tt0363163/,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.","Biography, Drama, History",2h 36m
Dangal,https://www.imdb.com/title/tt5074352/,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action, Biography, Drama",2h 41m
Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,8.2,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","Drama, Western",2h 12m
